# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 16:10:41
# Type: Specular
# Input file indices: 41919,41920,41921,41922,41923,41924
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0     220.1        11     125.5       110        30        20       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0     220.1        11     125.5       110        30        20       219         0     41917  /SNS/REF_M/IPTS-31275/nexus/REF_M_41917.nxs.h5
#        3         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        5         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        6         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   3.1329         3         3     179.5         9     125.5       110        30        20     False       219  4.42979e-14     41919         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41919.nxs.h5
#   0.6094         3         6     179.5         7     128.5        85        30        20     False       219  4.42979e-14     41920         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41920.nxs.h5
#   0.3321         3         6     180.5         7     128.5        85        30        20     False       219  0.535074     41921         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41921.nxs.h5
#   0.2401         2         3       181         9     128.5        85        30        20     False       219   1.46562     41922         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41922.nxs.h5
#   0.1724         3         1     181.5        10     128.5        85        30        20     False       219   3.10337     41923         5  /SNS/REF_M/IPTS-31275/nexus/REF_M_41923.nxs.h5
# 0.198609         3         1     182.9        12     128.5        62       230        20     False       219   5.97593     41924         6  /SNS/REF_M/IPTS-31275/nexus/REF_M_41924.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]	 theta [rad]
5.173887e-02      	1.592211e-04      	6.745038e-06      	1.770974e-03      	1.858009e-02      
5.329103e-02      	1.448108e-04      	6.395517e-06      	1.826497e-03      	1.858009e-02      
5.488977e-02      	1.164747e-04      	5.676118e-06      	1.883904e-03      	1.858009e-02      
5.653646e-02      	1.150161e-04      	5.772631e-06      	1.943272e-03      	1.858009e-02      
5.823255e-02      	1.009071e-04      	5.526380e-06      	2.004680e-03      	1.858009e-02      
5.997953e-02      	9.608927e-05      	5.221540e-06      	2.068213e-03      	1.858009e-02      
6.177891e-02      	1.014557e-04      	5.260700e-06      	2.133960e-03      	1.858009e-02      
6.363228e-02      	9.463590e-05      	5.075379e-06      	2.202016e-03      	1.858009e-02      
6.554125e-02      	8.372809e-05      	4.765823e-06      	2.272480e-03      	1.858009e-02      
6.750749e-02      	6.978385e-05      	4.325471e-06      	2.345456e-03      	1.858009e-02      
6.953271e-02      	6.823604e-05      	4.245174e-06      	2.421056e-03      	1.858009e-02      
7.161869e-02      	5.846516e-05      	3.906269e-06      	2.499396e-03      	1.858009e-02      
7.376726e-02      	5.464016e-05      	3.780273e-06      	2.580602e-03      	1.858009e-02      
7.598027e-02      	5.104122e-05      	3.640767e-06      	2.664804e-03      	1.858009e-02      
7.825968e-02      	4.949635e-05      	3.588074e-06      	2.752141e-03      	1.858009e-02      
8.060747e-02      	4.447105e-05      	3.452916e-06      	2.842762e-03      	1.858009e-02      
8.060747e-02      	4.336024e-05      	1.882639e-06      	2.735177e-03      	3.279597e-02      
8.302570e-02      	3.938440e-05      	3.300391e-06      	2.936823e-03      	1.858009e-02      
8.302570e-02      	4.020012e-05      	1.750745e-06      	2.820164e-03      	3.279597e-02      
8.551647e-02      	3.894701e-05      	1.679901e-06      	2.907969e-03      	3.279597e-02      
8.808196e-02      	3.506756e-05      	1.590088e-06      	2.998701e-03      	3.279597e-02      
9.072442e-02      	3.342214e-05      	1.537188e-06      	3.092475e-03      	3.279597e-02      
9.344615e-02      	2.879426e-05      	1.418739e-06      	3.189410e-03      	3.279597e-02      
9.624954e-02      	2.532060e-05      	1.316512e-06      	3.289632e-03      	3.279597e-02      
9.913702e-02      	2.567151e-05      	1.340336e-06      	3.393276e-03      	3.279597e-02      
1.021111e-01      	2.422352e-05      	1.349544e-06      	3.500480e-03      	3.279597e-02      
1.051745e-01      	2.042748e-05      	1.205217e-06      	3.611391e-03      	3.279597e-02      
1.083297e-01      	1.756873e-05      	1.090221e-06      	3.726167e-03      	3.279597e-02      
1.115796e-01      	1.746184e-05      	1.081051e-06      	3.844969e-03      	3.279597e-02      
1.149270e-01      	1.471002e-05      	9.938215e-07      	3.967972e-03      	3.279597e-02      
1.183748e-01      	1.439653e-05      	9.764263e-07      	4.095358e-03      	3.279597e-02      
1.219260e-01      	1.462953e-05      	9.776973e-07      	4.227321e-03      	3.279597e-02      
1.255838e-01      	1.220793e-05      	8.875150e-07      	4.364064e-03      	3.279597e-02      
1.293513e-01      	1.232743e-05      	8.916844e-07      	4.505805e-03      	3.279597e-02      
1.332319e-01      	1.146318e-05      	8.565782e-07      	4.652772e-03      	3.279597e-02      
1.372288e-01      	1.081250e-05      	8.316872e-07      	4.805207e-03      	3.279597e-02      
1.413457e-01      	1.022198e-05      	8.203566e-07      	4.963370e-03      	3.279597e-02      
1.413457e-01      	1.024980e-05      	6.239489e-07      	4.790502e-03      	5.765048e-02      
1.455861e-01      	1.007672e-05      	8.275283e-07      	5.127531e-03      	3.279597e-02      
1.455861e-01      	9.768291e-06      	5.862843e-07      	4.939640e-03      	5.765048e-02      
1.499536e-01      	8.812389e-06      	5.426905e-07      	5.093747e-03      	5.765048e-02      
1.499536e-01      	8.323705e-06      	9.071985e-07      	5.297981e-03      	3.279597e-02      
1.544523e-01      	7.450590e-06      	1.874127e-06      	5.475027e-03      	3.279597e-02      
1.544523e-01      	6.954377e-06      	4.806305e-07      	5.253019e-03      	5.765048e-02      
1.590858e-01      	7.182101e-06      	4.845508e-07      	5.417660e-03      	5.765048e-02      
1.638584e-01      	7.449010e-06      	4.897649e-07      	5.587882e-03      	5.765048e-02      
1.687741e-01      	6.745424e-06      	4.615086e-07      	5.763913e-03      	5.765048e-02      
1.738374e-01      	6.503145e-06      	4.574051e-07      	5.945990e-03      	5.765048e-02      
1.790525e-01      	6.798572e-06      	4.854196e-07      	6.134362e-03      	5.765048e-02      
1.844241e-01      	6.185951e-06      	4.512824e-07      	6.329294e-03      	5.765048e-02      
1.899568e-01      	5.628927e-06      	4.192775e-07      	6.531063e-03      	5.765048e-02      
1.956555e-01      	5.415555e-06      	4.088099e-07      	6.739964e-03      	5.765048e-02      
2.015252e-01      	4.781828e-06      	3.847347e-07      	6.956306e-03      	5.765048e-02      
2.075709e-01      	4.657020e-06      	3.772068e-07      	7.180418e-03      	5.765048e-02      
2.137980e-01      	3.820992e-06      	3.391271e-07      	7.412646e-03      	5.765048e-02      
2.202120e-01      	4.320999e-06      	3.588768e-07      	7.653357e-03      	5.765048e-02      
2.268183e-01      	4.199145e-06      	3.528902e-07      	7.902940e-03      	5.765048e-02      
2.336229e-01      	3.890615e-06      	3.395237e-07      	8.161806e-03      	5.765048e-02      
2.406316e-01      	3.270572e-06      	3.099430e-07      	8.430393e-03      	5.765048e-02      
2.478505e-01      	3.242900e-06      	3.123126e-07      	8.709163e-03      	5.765048e-02      
2.552860e-01      	4.074450e-06      	3.581192e-07      	8.998608e-03      	5.765048e-02      
2.629446e-01      	3.184926e-06      	3.579268e-07      	9.299249e-03      	5.765048e-02      
2.708330e-01      	2.277940e-06      	7.486840e-07      	9.611641e-03      	5.765048e-02      
2.789579e-01      	4.827515e-06      	3.173500e-06      	9.936373e-03      	5.765048e-02      
